knot_id_base,number_of_crossings,is_alternating,signature,s_invariant_qc,all5_ge3,no_khovanov_ge3of4,G_abs_s_minus_sigma,G_abs_abs_s_minus_abs_sigma,khovanov_F_support_size,khovanov_F_q_minus_2t_diagonal_count
15n123346,15,0,0,0,False,False,0.0,0.0,36,3
15n123347,15,0,0,0,False,False,0.0,0.0,27,3
15n123348,15,0,4,2,False,False,2.0,2.0,24,3
15n123349,15,0,0,0,False,False,0.0,0.0,24,2
15n123350,15,0,2,2,False,False,0.0,0.0,26,2
15n123351,15,0,2,2,False,False,0.0,0.0,37,3
15n123352,15,0,4,2,False,False,2.0,2.0,24,3
15n123353,15,0,0,0,False,False,0.0,0.0,36,3
15n123354,15,0,2,2,False,False,0.0,0.0,35,3
15n123355,15,0,2,2,False,False,0.0,0.0,26,2
15n123356,15,0,0,0,False,False,0.0,0.0,37,3
15n123357,15,0,4,4,False,False,0.0,0.0,34,3
15n123358,15,0,6,6,False,False,0.0,0.0,26,2
15n123359,15,0,0,0,False,False,0.0,0.0,36,3
