oracle    | moderate   | heteroskedastic    | 91/100 | selected=238 | p_mult=0.49
oracle    | moderate   | heteroskedastic    | 92/100 | selected=236 | p_mult=0.745
oracle    | moderate   | heteroskedastic    | 93/100 | selected=226 | p_mult=0.79
oracle    | moderate   | heteroskedastic    | 94/100 | selected=257 | p_mult=0.9975
oracle    | moderate   | heteroskedastic    | 95/100 | selected=263 | p_mult=0.8
oracle    | moderate   | heteroskedastic    | 96/100 | selected=240 | p_mult=0.78
oracle    | moderate   | heteroskedastic    | 97/100 | selected=218 | p_mult=0.8375
oracle    | moderate   | heteroskedastic    | 98/100 | selected=243 | p_mult=0.465
oracle    | moderate   | heteroskedastic    | 99/100 | selected=232 | p_mult=0.9525
oracle    | moderate   | heteroskedastic    | 100/100 | selected=268 | p_mult=0.76
oracle    | moderate   | tail_difficulty    | 1/100 | selected=239 | p_mult=0.055
oracle    | moderate   | tail_difficulty    | 2/100 | selected=252 | p_mult=0.305
oracle    | moderate   | tail_difficulty    | 3/100 | selected=260 | p_mult=0.1375
oracle    | moderate   | tail_difficulty    | 4/100 | selected=242 | p_mult=0.6525
oracle    | moderate   | tail_difficulty    | 5/100 | selected=214 | p_mult=0.7925
oracle    | moderate   | tail_difficulty    | 6/100 | selected=234 | p_mult=0.815
oracle    | moderate   | tail_difficulty    | 7/100 | selected=250 | p_mult=0.2225
oracle    | moderate   | tail_difficulty    | 8/100 | selected=231 | p_mult=0.37
oracle    | moderate   | tail_difficulty    | 9/100 | selected=240 | p_mult=0.1575
oracle    | moderate   | tail_difficulty    | 10/100 | selected=254 | p_mult=0.95
oracle    | moderate   | tail_difficulty    | 11/100 | selected=237 | p_mult=0.7075
oracle    | moderate   | tail_difficulty    | 12/100 | selected=253 | p_mult=0.4425
oracle    | moderate   | tail_difficulty    | 13/100 | selected=252 | p_mult=0.975
oracle    | moderate   | tail_difficulty    | 14/100 | selected=261 | p_mult=0.73
oracle    | moderate   | tail_difficulty    | 15/100 | selected=260 | p_mult=0.6125
oracle    | moderate   | tail_difficulty    | 16/100 | selected=267 | p_mult=0.0425
oracle    | moderate   | tail_difficulty    | 17/100 | selected=248 | p_mult=0.28
oracle    | moderate   | tail_difficulty    | 18/100 | selected=248 | p_mult=0.8775
oracle    | moderate   | tail_difficulty    | 19/100 | selected=243 | p_mult=0.9925
oracle    | moderate   | tail_difficulty    | 20/100 | selected=201 | p_mult=0.985
oracle    | moderate   | tail_difficulty    | 21/100 | selected=213 | p_mult=0.375
oracle    | moderate   | tail_difficulty    | 22/100 | selected=246 | p_mult=0.28
oracle    | moderate   | tail_difficulty    | 23/100 | selected=238 | p_mult=0.125
oracle    | moderate   | tail_difficulty    | 24/100 | selected=251 | p_mult=0.57
oracle    | moderate   | tail_difficulty    | 25/100 | selected=243 | p_mult=0.3225
oracle    | moderate   | tail_difficulty    | 26/100 | selected=231 | p_mult=0.535
oracle    | moderate   | tail_difficulty    | 27/100 | selected=240 | p_mult=0.4075
oracle    | moderate   | tail_difficulty    | 28/100 | selected=257 | p_mult=0.7175
oracle    | moderate   | tail_difficulty    | 29/100 | selected=227 | p_mult=0.4475
oracle    | moderate   | tail_difficulty    | 30/100 | selected=240 | p_mult=0.595
oracle    | moderate   | tail_difficulty    | 31/100 | selected=238 | p_mult=0.12
oracle    | moderate   | tail_difficulty    | 32/100 | selected=230 | p_mult=0.69
oracle    | moderate   | tail_difficulty    | 33/100 | selected=235 | p_mult=0.125
oracle    | moderate   | tail_difficulty    | 34/100 | selected=254 | p_mult=0.7175
oracle    | moderate   | tail_difficulty    | 35/100 | selected=254 | p_mult=0.6575
oracle    | moderate   | tail_difficulty    | 36/100 | selected=256 | p_mult=0.0425
oracle    | moderate   | tail_difficulty    | 37/100 | selected=237 | p_mult=0.0225
oracle    | moderate   | tail_difficulty    | 38/100 | selected=228 | p_mult=0.9125
oracle    | moderate   | tail_difficulty    | 39/100 | selected=244 | p_mult=0.455
oracle    | moderate   | tail_difficulty    | 40/100 | selected=258 | p_mult=0.0025
oracle    | moderate   | tail_difficulty    | 41/100 | selected=224 | p_mult=0.685
oracle    | moderate   | tail_difficulty    | 42/100 | selected=258 | p_mult=0.8275
oracle    | moderate   | tail_difficulty    | 43/100 | selected=250 | p_mult=0.6575
oracle    | moderate   | tail_difficulty    | 44/100 | selected=236 | p_mult=0.465
oracle    | moderate   | tail_difficulty    | 45/100 | selected=232 | p_mult=0.6525
oracle    | moderate   | tail_difficulty    | 46/100 | selected=232 | p_mult=0.9225
oracle    | moderate   | tail_difficulty    | 47/100 | selected=253 | p_mult=0.885
oracle    | moderate   | tail_difficulty    | 48/100 | selected=251 | p_mult=0.9575
oracle    | moderate   | tail_difficulty    | 49/100 | selected=258 | p_mult=0.4675
oracle    | moderate   | tail_difficulty    | 50/100 | selected=230 | p_mult=0.185
oracle    | moderate   | tail_difficulty    | 51/100 | selected=230 | p_mult=0.94
oracle    | moderate   | tail_difficulty    | 52/100 | selected=248 | p_mult=0.065
oracle    | moderate   | tail_difficulty    | 53/100 | selected=250 | p_mult=0.4075
oracle    | moderate   | tail_difficulty    | 54/100 | selected=224 | p_mult=0.3525
oracle    | moderate   | tail_difficulty    | 55/100 | selected=240 | p_mult=0.7525
oracle    | moderate   | tail_difficulty    | 56/100 | selected=256 | p_mult=0.1475
oracle    | moderate   | tail_difficulty    | 57/100 | selected=239 | p_mult=0.2025
oracle    | moderate   | tail_difficulty    | 58/100 | selected=260 | p_mult=0.51
oracle    | moderate   | tail_difficulty    | 59/100 | selected=235 | p_mult=0.3825
oracle    | moderate   | tail_difficulty    | 60/100 | selected=233 | p_mult=0.07
oracle    | moderate   | tail_difficulty    | 61/100 | selected=252 | p_mult=0.545
oracle    | moderate   | tail_difficulty    | 62/100 | selected=238 | p_mult=0.3725
oracle    | moderate   | tail_difficulty    | 63/100 | selected=244 | p_mult=0.3675
