example_rank,knot_a,knot_b,same_HOMFLY_PT_exact,kh_diagonal_a,kh_diagonal_b,kh_diagonal_abs_difference,kh_support_a,kh_support_b,theta_percentile_a,theta_percentile_b,theta_percentile_abs_difference,four_view_aggregate_a,four_view_aggregate_b,four_view_aggregate_abs_difference,four_view_selected_a,four_view_selected_b,four_view_split_pair,pair_aggregate_a,pair_aggregate_b,pair_selected_a,pair_selected_b,alternating_a,alternating_b,crossing_a,crossing_b,Alexander_percentile_a,Alexander_percentile_b,Jones_percentile_a,Jones_percentile_b,HOMFLY_PT_percentile_a,HOMFLY_PT_percentile_b,Theta_percentile_a,Theta_percentile_b
11,15n063865,15n047685,True,2.0,3.0,1.0,20.0,29.0,0.2750771522826434,0.6871874002341173,0.4121102479514739,0.2750771522826434,0.5673619240183038,0.29228477173566036,False,False,False,0.03810790677875918,0.03810790677875918,False,False,0,0,15,15,0.7906565925295307,0.7906565925295307,0.5673619240183038,0.5673619240183038,0.03810790677875918,0.03810790677875918,0.2750771522826434,0.6871874002341173
12,15n061009,15n052310,True,2.0,3.0,1.0,20.0,27.0,0.5572523145684793,0.1992550814089603,0.35799723315951903,0.0930190486325423,0.0930190486325423,0.0,False,False,False,0.0407151218473981,0.0407151218473981,False,False,0,0,15,15,0.0930190486325423,0.0930190486325423,0.5020432052782803,0.5020432052782803,0.0407151218473981,0.0407151218473981,0.5572523145684793,0.1992550814089603
13,15n041820,15n093273,True,2.0,3.0,1.0,24.0,25.0,0.4083962966904331,0.0963498989039055,0.3120463977865276,0.4083962966904331,0.2102905182505055,0.1981057784399276,False,False,False,0.2102905182505055,0.0963498989039055,False,False,0,0,15,15,0.4401617537511972,0.4401617537511972,0.5612110247951474,0.5612110247951474,0.2102905182505055,0.2102905182505055,0.4083962966904331,0.0963498989039055
14,12a0009,15n002107,True,2.0,3.0,1.0,24.0,28.0,0.22552942428434608,0.5343088219644567,0.30877939768011065,0.22552942428434608,0.3375013302117697,0.11197190592742362,False,False,False,0.11513248909226349,0.11513248909226349,False,False,1,0,12,15,0.3375013302117697,0.3375013302117697,0.49282749813770355,0.49282749813770355,0.11513248909226349,0.11513248909226349,0.22552942428434608,0.5343088219644567
15,14n10842,15n155515,True,2.0,3.0,1.0,21.0,27.0,0.5343088219644567,0.8234010854528041,0.2890922634883474,0.5343088219644567,0.6642119825476216,0.12990316058316487,False,False,False,0.019080557624773863,0.019080557624773863,False,False,0,0,14,15,0.6642119825476216,0.6642119825476216,0.6862934979248696,0.6862934979248696,0.019080557624773863,0.019080557624773863,0.5343088219644567,0.8234010854528041
16,14n25738,14n11610,True,2.0,3.0,1.0,20.0,22.0,0.6108545280408642,0.35427264020432053,0.2565818878365436,0.3240821538788975,0.3240821538788975,0.0,False,False,False,0.29174204533361714,0.29174204533361714,False,False,0,0,14,14,0.3240821538788975,0.3240821538788975,0.5502500798127061,0.5502500798127061,0.29174204533361714,0.29174204533361714,0.6108545280408642,0.35427264020432053
17,14n06467,15n096227,True,2.0,3.0,1.0,22.0,24.0,0.7818133446844737,0.5387038416515909,0.2431095030328828,0.3661381291901671,0.3661381291901671,0.0,False,False,False,0.3661381291901671,0.3661381291901671,False,False,0,0,14,15,0.190571458976269,0.190571458976269,0.6654144939874428,0.6654144939874428,0.3661381291901671,0.3661381291901671,0.7818133446844737,0.5387038416515909
18,14n18759,15n105453,True,2.0,3.0,1.0,22.0,30.0,0.6757688624028946,0.9150260721506864,0.23925720974779185,0.11375971054591891,0.11375971054591891,0.0,False,False,False,0.11375971054591891,0.11375971054591891,False,False,0,0,14,15,0.015355964669575397,0.015355964669575397,0.6627008619772268,0.6627008619772268,0.11375971054591891,0.11375971054591891,0.6757688624028946,0.9150260721506864
19,15n108683,15n044444,True,2.0,3.0,1.0,20.0,29.0,0.218048313291476,0.4326700010641694,0.21462168777269341,0.21604767478982653,0.21604767478982653,0.0,False,False,False,0.03436203043524529,0.03436203043524529,False,False,0,0,15,15,0.21604767478982653,0.21604767478982653,0.6467170373523465,0.6467170373523465,0.03436203043524529,0.03436203043524529,0.218048313291476,0.4326700010641694
20,15n079821,15n014275,True,2.0,3.0,1.0,20.0,22.0,0.3270405448547409,0.5365222943492604,0.20948174949451948,0.15133553261679258,0.15133553261679258,0.0,False,False,False,0.002138980525699691,0.002138980525699691,False,False,0,0,15,15,0.15133553261679258,0.15133553261679258,0.42101734596147705,0.42101734596147705,0.002138980525699691,0.002138980525699691,0.3270405448547409,0.5365222943492604
21,14n18803,15n006671,True,2.0,3.0,1.0,22.0,29.0,0.585069703096733,0.37674789826540384,0.20832180483132917,0.5345003724592955,0.37674789826540384,0.15775247419389166,False,False,False,0.0029583909758433545,0.0029583909758433545,False,False,0,0,14,15,0.7212621049271044,0.7212621049271044,0.5345003724592955,0.5345003724592955,0.0029583909758433545,0.0029583909758433545,0.585069703096733,0.37674789826540384
22,09_36,13n1488,True,2.0,3.0,1.0,18.0,21.0,0.15407044801532405,0.3405767798233479,0.18650633180802384,0.15407044801532405,0.2318080238373949,0.07773757582207086,False,False,False,0.046142385867830156,0.046142385867830156,False,False,1,0,9,13,0.2318080238373949,0.2318080238373949,0.3764605725231457,0.3764605725231457,0.046142385867830156,0.046142385867830156,0.15407044801532405,0.3405767798233479
23,13n2661,15n013989,True,2.0,3.0,1.0,20.0,22.0,0.27608811322762583,0.0935617750345855,0.18252633819304032,0.34458869852080454,0.34458869852080454,0.0,False,False,False,0.27608811322762583,0.0935617750345855,False,False,0,0,13,15,0.34458869852080454,0.34458869852080454,0.6273065872086836,0.6273065872086836,0.6591039693519208,0.6591039693519208,0.27608811322762583,0.0935617750345855
24,15n071025,15n031634,True,2.0,3.0,1.0,24.0,26.0,0.23850164946259444,0.4196552091092902,0.18115355964669577,0.23850164946259444,0.4196552091092902,0.18115355964669577,False,False,False,0.016771309992550814,0.016771309992550814,False,False,0,0,15,15,0.42682771097158667,0.42682771097158667,0.5148770884324785,0.5148770884324785,0.016771309992550814,0.016771309992550814,0.23850164946259444,0.4196552091092902
