scope,input_family,tuple_group,n_knots,n_pairs,n_width_values,n_free_reflection_orbits,width_diff_pairs,F_diff_mod_reflection_pairs,F_reflection_only_pairs,stored_torsion_direct_diff_pairs
test,four_view_noKh,222647,2,1,1,1,0,0,0,0
test,four_view_noKh,229944,2,1,1,1,0,0,0,0
test,four_view_noKh,230904,2,1,1,1,0,0,0,0
test,four_view_noKh,232272,2,1,1,1,0,0,0,0
test,four_view_noKh,233210,2,1,1,1,0,0,0,0
test,four_view_noKh,234536,2,1,1,1,0,0,0,0
test,four_view_noKh,235332,2,1,1,1,0,0,0,0
test,four_view_noKh,238193,2,1,1,1,0,0,0,0
test,four_view_noKh,238714,2,1,1,1,0,0,0,0
test,four_view_noKh,240999,2,1,1,1,0,0,0,0
test,four_view_noKh,241985,2,1,1,1,0,0,0,0
test,four_view_noKh,244845,2,1,1,1,0,0,0,0
test,four_view_noKh,248459,2,1,1,1,0,0,0,0
test,four_view_noKh,249585,2,1,1,1,0,0,0,0
test,four_view_noKh,249686,2,1,1,1,0,0,0,0
test,four_view_noKh,250188,2,1,1,1,0,0,0,0
test,four_view_noKh,250675,2,1,1,1,0,0,0,0
test,four_view_noKh,250760,2,1,1,1,0,0,0,0
test,four_view_noKh,254386,2,1,1,1,0,0,0,0
test,four_view_noKh,254544,2,1,1,1,0,0,0,0
test,four_view_noKh,255440,2,1,1,1,0,0,0,0
test,four_view_noKh,267729,3,3,1,1,0,0,0,0
test,four_view_noKh,268703,2,1,1,1,0,0,0,0
test,four_view_noKh,269716,2,1,1,1,0,0,0,0
test,four_view_noKh,272723,2,1,1,1,0,0,0,0
test,four_view_noKh,273134,3,3,1,1,0,0,0,0
test,four_view_noKh,274918,2,1,1,1,0,0,0,0
test,four_view_noKh,274999,2,1,1,1,0,0,0,0
test,four_view_noKh,275973,2,1,1,1,0,0,0,0
test,four_view_noKh,278257,2,1,1,1,0,0,0,0
test,four_view_noKh,278950,2,1,1,1,0,0,0,0
test,four_view_noKh,278951,2,1,1,1,0,0,0,0
test,four_view_noKh,280580,2,1,1,1,0,0,0,0
test,four_view_noKh,281712,2,1,1,1,0,0,0,0
test,four_view_noKh,281718,2,1,1,1,0,0,0,0
test,four_view_noKh,284361,2,1,1,1,0,0,0,0
test,four_view_noKh,285902,2,1,1,1,0,0,0,0
test,four_view_noKh,285956,2,1,1,1,0,0,0,0
test,four_view_noKh,291507,2,1,1,1,0,0,0,0
test,four_view_noKh,293226,2,1,1,1,0,0,0,0
test,four_view_noKh,296588,2,1,1,1,0,0,0,0
test,four_view_noKh,297233,2,1,1,1,0,0,0,0
test,four_view_noKh,297316,2,1,1,1,0,0,0,0
test,four_view_noKh,298345,2,1,1,1,0,0,0,0
test,four_view_noKh,299294,2,1,1,1,0,0,0,0
test,four_view_noKh,303683,3,3,1,1,0,0,0,0
atlas,HOMFLY_PT_plus_Theta,5,2,1,1,1,0,0,0,0
atlas,HOMFLY_PT_plus_Theta,106,4,6,1,1,0,0,0,0
atlas,HOMFLY_PT_plus_Theta,268,2,1,1,1,0,0,0,0
atlas,HOMFLY_PT_plus_Theta,284,2,1,1,1,0,0,0,0
atlas,HOMFLY_PT_plus_Theta,309,4,6,1,1,0,0,0,0
atlas,HOMFLY_PT_plus_Theta,363,2,1,1,1,0,0,0,0
atlas,HOMFLY_PT_plus_Theta,605,2,1,1,1,0,0,0,0
atlas,HOMFLY_PT_plus_Theta,709,2,1,1,1,0,0,0,0
atlas,HOMFLY_PT_plus_Theta,730,2,1,1,1,0,0,0,0
atlas,HOMFLY_PT_plus_Theta,754,4,6,1,1,0,0,0,0
atlas,HOMFLY_PT_plus_Theta,863,2,1,1,1,0,0,0,0
atlas,HOMFLY_PT_plus_Theta,869,2,1,1,1,0,0,0,0
atlas,HOMFLY_PT_plus_Theta,870,2,1,1,1,0,0,0,0
atlas,HOMFLY_PT_plus_Theta,972,2,1,1,1,0,0,0,0
atlas,HOMFLY_PT_plus_Theta,982,2,1,1,1,0,0,0,0
atlas,HOMFLY_PT_plus_Theta,1017,2,1,1,1,0,0,0,0
atlas,HOMFLY_PT_plus_Theta,1062,2,1,1,1,0,0,0,0
atlas,HOMFLY_PT_plus_Theta,1132,2,1,1,1,0,0,0,0
atlas,HOMFLY_PT_plus_Theta,1189,2,1,1,1,0,0,0,0
atlas,HOMFLY_PT_plus_Theta,1209,2,1,1,1,0,0,0,0
atlas,HOMFLY_PT_plus_Theta,1216,2,1,1,1,0,0,0,0
atlas,HOMFLY_PT_plus_Theta,1221,2,1,1,1,0,0,0,0
atlas,HOMFLY_PT_plus_Theta,1229,2,1,1,1,0,0,0,0
atlas,HOMFLY_PT_plus_Theta,1249,2,1,1,1,0,0,0,0
atlas,HOMFLY_PT_plus_Theta,1250,2,1,1,1,0,0,0,0
atlas,HOMFLY_PT_plus_Theta,1302,2,1,1,1,0,0,0,0
atlas,HOMFLY_PT_plus_Theta,1384,2,1,1,1,0,0,0,0
atlas,HOMFLY_PT_plus_Theta,1416,2,1,1,1,0,0,0,0
atlas,HOMFLY_PT_plus_Theta,1482,2,1,1,1,0,0,0,0
atlas,HOMFLY_PT_plus_Theta,1521,2,1,1,1,0,0,0,0
atlas,HOMFLY_PT_plus_Theta,1583,2,1,1,1,0,0,0,0
atlas,HOMFLY_PT_plus_Theta,1633,2,1,1,1,0,0,0,0
atlas,HOMFLY_PT_plus_Theta,1663,2,1,1,1,0,0,0,0
atlas,HOMFLY_PT_plus_Theta,1757,2,1,1,1,0,0,0,0
atlas,HOMFLY_PT_plus_Theta,1875,2,1,1,1,0,0,0,0
atlas,HOMFLY_PT_plus_Theta,1986,2,1,1,1,0,0,0,0
atlas,HOMFLY_PT_plus_Theta,2020,2,1,1,1,0,0,0,0
atlas,HOMFLY_PT_plus_Theta,2042,2,1,1,1,0,0,0,0
atlas,HOMFLY_PT_plus_Theta,2078,2,1,1,1,0,0,0,0
atlas,HOMFLY_PT_plus_Theta,2126,2,1,1,1,0,0,0,0
atlas,HOMFLY_PT_plus_Theta,2127,2,1,1,1,0,0,0,0
atlas,HOMFLY_PT_plus_Theta,2134,2,1,1,1,0,0,0,0
atlas,HOMFLY_PT_plus_Theta,2245,2,1,1,1,0,0,0,0
atlas,HOMFLY_PT_plus_Theta,2323,3,3,1,1,0,0,0,0
atlas,HOMFLY_PT_plus_Theta,2398,2,1,1,1,0,0,0,0
atlas,HOMFLY_PT_plus_Theta,2442,4,6,1,1,0,0,0,0
atlas,HOMFLY_PT_plus_Theta,2452,2,1,1,1,0,0,0,0
atlas,HOMFLY_PT_plus_Theta,2454,2,1,1,1,0,0,0,0
atlas,HOMFLY_PT_plus_Theta,2464,3,3,1,1,0,0,0,0
atlas,HOMFLY_PT_plus_Theta,2526,2,1,1,1,0,0,0,0
atlas,HOMFLY_PT_plus_Theta,2751,2,1,1,1,0,0,0,0
atlas,HOMFLY_PT_plus_Theta,2828,2,1,1,1,0,0,0,0
atlas,HOMFLY_PT_plus_Theta,2882,2,1,1,1,0,0,0,0
atlas,HOMFLY_PT_plus_Theta,2909,2,1,1,1,0,0,0,0
atlas,HOMFLY_PT_plus_Theta,2952,2,1,1,1,0,0,0,0
atlas,HOMFLY_PT_plus_Theta,3011,2,1,1,1,0,0,0,0
atlas,HOMFLY_PT_plus_Theta,3282,4,6,1,1,0,0,0,0
atlas,HOMFLY_PT_plus_Theta,3285,2,1,1,1,0,0,0,0
atlas,HOMFLY_PT_plus_Theta,3320,2,1,1,1,0,0,0,0
atlas,HOMFLY_PT_plus_Theta,3341,2,1,1,1,0,0,0,0
atlas,HOMFLY_PT_plus_Theta,3419,2,1,1,1,0,0,0,0
atlas,HOMFLY_PT_plus_Theta,3433,2,1,1,1,0,0,0,0
atlas,HOMFLY_PT_plus_Theta,3508,2,1,1,1,0,0,0,0
atlas,HOMFLY_PT_plus_Theta,3528,2,1,1,1,0,0,0,0
atlas,HOMFLY_PT_plus_Theta,3555,2,1,1,1,0,0,0,0
atlas,HOMFLY_PT_plus_Theta,3559,2,1,1,1,0,0,0,0
atlas,HOMFLY_PT_plus_Theta,3574,2,1,1,1,0,0,0,0
atlas,HOMFLY_PT_plus_Theta,3643,2,1,1,1,0,0,0,0
atlas,HOMFLY_PT_plus_Theta,3741,2,1,1,1,0,0,0,0
atlas,HOMFLY_PT_plus_Theta,3742,2,1,1,1,0,0,0,0
atlas,HOMFLY_PT_plus_Theta,3888,2,1,1,1,0,0,0,0
atlas,HOMFLY_PT_plus_Theta,3889,3,3,1,1,0,0,0,0
atlas,HOMFLY_PT_plus_Theta,4191,2,1,1,1,0,0,0,0
atlas,HOMFLY_PT_plus_Theta,4265,2,1,1,1,0,0,0,0
