scope,input_family,tuple_group,knot_id_base,split,W_F,F_rank,F_support,stored_union_diagonal_count,F_tuple_group,F_reflection_orbit,stored_torsion_tuple_group
atlas,HOMFLY_PT_plus_Theta,207355,15n075363,train,2,406,26,2,4600,4527,2870
atlas,HOMFLY_PT_plus_Theta,207355,15n075463,val,2,406,26,2,4600,4527,2870
atlas,HOMFLY_PT_plus_Theta,207376,15n029403,test,3,320,38,3,3704,3653,5123
atlas,HOMFLY_PT_plus_Theta,207376,15n029499,train,3,320,38,3,3704,3653,5123
atlas,HOMFLY_PT_plus_Theta,207377,15n029411,train,3,320,38,3,3704,3653,5123
atlas,HOMFLY_PT_plus_Theta,207377,15n033147,test,3,320,38,3,3704,3653,5123
atlas,HOMFLY_PT_plus_Theta,207604,15n006797,train,2,336,26,2,2791,2765,238
atlas,HOMFLY_PT_plus_Theta,207604,15n006895,train,2,336,26,2,2791,2765,238
atlas,HOMFLY_PT_plus_Theta,207756,15n011805,train,2,298,26,2,3124,3095,1598
atlas,HOMFLY_PT_plus_Theta,207756,15n013533,train,2,298,26,2,3124,3095,1598
atlas,HOMFLY_PT_plus_Theta,207757,15n090741,val,3,108,32,3,4945,4866,5226
atlas,HOMFLY_PT_plus_Theta,207757,15n093177,train,3,108,32,3,4945,4866,5226
atlas,HOMFLY_PT_plus_Theta,207811,15n066933,train,3,268,36,3,4393,4323,2377
atlas,HOMFLY_PT_plus_Theta,207811,15n066936,train,3,268,36,3,4393,4323,2377
atlas,HOMFLY_PT_plus_Theta,207812,15n062276,test,3,268,36,3,4393,4323,2377
atlas,HOMFLY_PT_plus_Theta,207812,15n062279,train,3,268,36,3,4393,4323,2377
atlas,HOMFLY_PT_plus_Theta,207903,14n12101,train,3,158,34,3,859,850,2324
atlas,HOMFLY_PT_plus_Theta,207903,14n19392,train,3,158,34,3,859,850,2324
atlas,HOMFLY_PT_plus_Theta,207927,15a14379,train,2,658,30,2,1499,1485,5480
atlas,HOMFLY_PT_plus_Theta,207927,15a49202,train,2,658,30,2,1499,1485,5480
atlas,HOMFLY_PT_plus_Theta,207963,15a18426,val,2,1064,30,2,1589,1574,4899
atlas,HOMFLY_PT_plus_Theta,207963,15a18855,train,2,1064,30,2,1589,1574,4899
atlas,HOMFLY_PT_plus_Theta,207967,15a18442,train,2,1064,30,2,1589,1574,4899
atlas,HOMFLY_PT_plus_Theta,207967,15a18859,train,2,1064,30,2,1589,1574,4899
atlas,HOMFLY_PT_plus_Theta,208116,15a28688,val,2,928,30,2,1857,1841,4896
atlas,HOMFLY_PT_plus_Theta,208116,15a53899,train,2,928,30,2,1857,1841,4896
atlas,HOMFLY_PT_plus_Theta,208143,15a13347,train,2,514,30,2,1460,1446,355
atlas,HOMFLY_PT_plus_Theta,208143,15a13410,test,2,514,30,2,1460,1446,355
atlas,HOMFLY_PT_plus_Theta,208310,15n022368,train,2,322,26,2,3473,3433,372
atlas,HOMFLY_PT_plus_Theta,208310,15n023155,train,2,322,26,2,3473,3433,372
atlas,HOMFLY_PT_plus_Theta,208459,15n028021,test,3,156,27,3,3659,3616,732
atlas,HOMFLY_PT_plus_Theta,208459,15n028377,train,3,156,27,3,3659,3616,732
atlas,HOMFLY_PT_plus_Theta,208478,15a27669,val,2,738,30,2,1757,1741,2726
atlas,HOMFLY_PT_plus_Theta,208478,15a27854,train,2,738,30,2,1757,1741,2726
atlas,HOMFLY_PT_plus_Theta,208479,15a27672,train,2,738,30,2,1757,1741,2726
atlas,HOMFLY_PT_plus_Theta,208479,15a27857,train,2,738,30,2,1757,1741,2726
atlas,HOMFLY_PT_plus_Theta,208549,14a02145,test,2,476,28,2,272,271,4795
atlas,HOMFLY_PT_plus_Theta,208549,14a02172,train,2,476,28,2,272,271,4795
atlas,HOMFLY_PT_plus_Theta,208746,14n03371,val,3,130,32,3,668,665,333
atlas,HOMFLY_PT_plus_Theta,208746,14n03576,train,3,130,32,3,668,665,333
atlas,HOMFLY_PT_plus_Theta,208859,13n0372,train,3,82,31,3,107,107,1667
atlas,HOMFLY_PT_plus_Theta,208859,13n0375,val,3,82,31,3,107,107,1667
atlas,HOMFLY_PT_plus_Theta,209062,15a15350,train,2,760,30,2,1523,1508,4376
atlas,HOMFLY_PT_plus_Theta,209062,15a18518,train,2,760,30,2,1523,1508,4376
atlas,HOMFLY_PT_plus_Theta,209085,15n095988,train,3,90,29,3,4982,4901,2850
atlas,HOMFLY_PT_plus_Theta,209085,15n151063,train,3,90,29,3,4982,4901,2850
atlas,HOMFLY_PT_plus_Theta,209336,15n081891,train,2,460,26,2,4819,4743,2517
atlas,HOMFLY_PT_plus_Theta,209336,15n081892,train,2,460,26,2,4819,4743,2517
atlas,HOMFLY_PT_plus_Theta,209346,15n046173,test,2,126,24,2,3101,3073,2029
atlas,HOMFLY_PT_plus_Theta,209346,15n134204,train,2,126,24,2,3101,3073,2029
atlas,HOMFLY_PT_plus_Theta,209370,15a13310,train,2,658,30,2,1441,1427,387
atlas,HOMFLY_PT_plus_Theta,209370,15a13437,val,2,658,30,2,1441,1427,387
atlas,HOMFLY_PT_plus_Theta,209426,15a34398,train,2,730,30,2,1962,1946,4195
atlas,HOMFLY_PT_plus_Theta,209426,15a39205,test,2,730,30,2,1962,1946,4195
atlas,HOMFLY_PT_plus_Theta,209461,15n053335,train,2,256,26,2,4249,4181,4295
atlas,HOMFLY_PT_plus_Theta,209461,15n053881,train,2,256,26,2,4249,4181,4295
atlas,HOMFLY_PT_plus_Theta,209519,15n075922,train,3,216,36,3,4676,4602,4748
atlas,HOMFLY_PT_plus_Theta,209519,15n075972,train,3,216,36,3,4676,4602,4748
atlas,HOMFLY_PT_plus_Theta,209866,14a10120,train,2,504,28,2,414,412,1318
atlas,HOMFLY_PT_plus_Theta,209866,14a10170,test,2,504,28,2,414,412,1318
atlas,HOMFLY_PT_plus_Theta,209920,15a57912,train,2,588,30,2,2346,2324,3743
atlas,HOMFLY_PT_plus_Theta,209920,15a57934,val,2,588,30,2,2346,2324,3743
atlas,HOMFLY_PT_plus_Theta,209960,14n20609,train,2,244,24,2,973,962,2305
atlas,HOMFLY_PT_plus_Theta,209960,14n20610,train,2,244,24,2,973,962,2305
atlas,HOMFLY_PT_plus_Theta,209962,15n029558,test,3,260,37,3,3453,3414,2353
atlas,HOMFLY_PT_plus_Theta,209962,15n029560,train,3,260,37,3,3453,3414,2353
atlas,HOMFLY_PT_plus_Theta,209963,15n021938,train,3,260,37,3,3453,3414,2353
atlas,HOMFLY_PT_plus_Theta,209963,15n021941,test,3,260,37,3,3453,3414,2353
atlas,HOMFLY_PT_plus_Theta,209971,15n125828,train,2,406,26,2,5409,5320,1641
atlas,HOMFLY_PT_plus_Theta,209971,15n125861,train,2,406,26,2,5409,5320,1641
atlas,HOMFLY_PT_plus_Theta,210010,15a29738,train,2,784,30,2,1892,1876,1295
atlas,HOMFLY_PT_plus_Theta,210010,15a29866,train,2,784,30,2,1892,1876,1295
atlas,HOMFLY_PT_plus_Theta,210021,15n078716,train,3,146,33,3,4731,4657,2216
atlas,HOMFLY_PT_plus_Theta,210021,15n079441,train,3,146,33,3,4731,4657,2216
atlas,HOMFLY_PT_plus_Theta,210054,15n099479,train,2,256,26,2,5080,4998,3214
atlas,HOMFLY_PT_plus_Theta,210054,15n099543,val,2,256,26,2,5080,4998,3214
atlas,HOMFLY_PT_plus_Theta,210090,15a05302,val,2,804,30,2,1193,1182,5532
atlas,HOMFLY_PT_plus_Theta,210090,15a05368,test,2,804,30,2,1193,1182,5532
atlas,HOMFLY_PT_plus_Theta,210104,15n121784,train,2,530,26,2,5335,5248,2791
atlas,HOMFLY_PT_plus_Theta,210104,15n123226,test,2,530,26,2,5335,5248,2791
atlas,HOMFLY_PT_plus_Theta,210119,14a01994,train,2,532,28,2,261,260,1899
atlas,HOMFLY_PT_plus_Theta,210119,14a02006,train,2,532,28,2,261,260,1899
atlas,HOMFLY_PT_plus_Theta,210119,14a09677,train,2,532,28,2,261,260,1899
atlas,HOMFLY_PT_plus_Theta,210119,14a09679,val,2,532,28,2,261,260,1899
atlas,HOMFLY_PT_plus_Theta,210218,15n025932,test,2,172,24,2,3621,3579,544
atlas,HOMFLY_PT_plus_Theta,210218,15n026434,train,2,172,24,2,3621,3579,544
atlas,HOMFLY_PT_plus_Theta,210262,15n060347,test,3,116,32,3,4373,4304,1692
atlas,HOMFLY_PT_plus_Theta,210262,15n060399,test,3,116,32,3,4373,4304,1692
atlas,HOMFLY_PT_plus_Theta,210279,13n0357,train,2,192,22,2,103,103,817
atlas,HOMFLY_PT_plus_Theta,210279,13n0520,train,2,192,22,2,103,103,817
atlas,HOMFLY_PT_plus_Theta,210283,14n00640,test,2,192,22,2,103,103,817
atlas,HOMFLY_PT_plus_Theta,210283,14n00739,train,2,192,22,2,103,103,817
atlas,HOMFLY_PT_plus_Theta,210284,15a09442,train,2,568,30,2,1334,1323,5184
atlas,HOMFLY_PT_plus_Theta,210284,15a09635,val,2,568,30,2,1334,1323,5184
atlas,HOMFLY_PT_plus_Theta,210318,15n022545,train,2,206,24,2,3483,3442,1507
atlas,HOMFLY_PT_plus_Theta,210318,15n023278,train,2,206,24,2,3483,3442,1507
atlas,HOMFLY_PT_plus_Theta,210404,15n023393,val,2,172,26,2,3516,3475,777
atlas,HOMFLY_PT_plus_Theta,210404,15n023402,train,2,172,26,2,3516,3475,777
atlas,HOMFLY_PT_plus_Theta,210437,15n116213,train,2,262,25,2,5229,5146,65
atlas,HOMFLY_PT_plus_Theta,210437,15n117478,train,2,262,25,2,5229,5146,65
atlas,HOMFLY_PT_plus_Theta,210446,12a0273,train,2,206,24,2,15,15,2667
atlas,HOMFLY_PT_plus_Theta,210446,12a0890,train,2,206,24,2,15,15,2667
atlas,HOMFLY_PT_plus_Theta,210460,15a03498,val,2,1054,30,2,1131,1120,4228
atlas,HOMFLY_PT_plus_Theta,210460,15a03924,train,2,1054,30,2,1131,1120,4228
atlas,HOMFLY_PT_plus_Theta,210567,13a3317,train,2,300,26,2,89,89,2391
atlas,HOMFLY_PT_plus_Theta,210567,13a3320,val,2,300,26,2,89,89,2391
atlas,HOMFLY_PT_plus_Theta,210569,15n075308,train,2,352,26,2,4579,4506,822
atlas,HOMFLY_PT_plus_Theta,210569,15n075805,train,2,352,26,2,4579,4506,822
atlas,HOMFLY_PT_plus_Theta,210585,15n091822,train,2,190,26,2,4950,4871,1587
atlas,HOMFLY_PT_plus_Theta,210585,15n116320,train,2,190,26,2,4950,4871,1587
atlas,HOMFLY_PT_plus_Theta,210740,15n039300,train,3,218,36,3,3944,3888,2341
atlas,HOMFLY_PT_plus_Theta,210740,15n039314,train,3,218,36,3,3944,3888,2341
atlas,HOMFLY_PT_plus_Theta,210881,15a21759,train,2,624,30,2,1677,1661,1269
atlas,HOMFLY_PT_plus_Theta,210881,15a21770,val,2,624,30,2,1677,1661,1269
atlas,HOMFLY_PT_plus_Theta,210929,15n134421,test,3,184,34,3,5472,5379,260
atlas,HOMFLY_PT_plus_Theta,210929,15n137345,val,3,184,34,3,5472,5379,260
atlas,HOMFLY_PT_plus_Theta,211065,15n047417,test,3,92,31,3,4143,4075,3885
atlas,HOMFLY_PT_plus_Theta,211065,15n051499,train,3,92,31,3,4143,4075,3885
atlas,HOMFLY_PT_plus_Theta,211189,14n07381,train,2,118,22,2,798,790,762
atlas,HOMFLY_PT_plus_Theta,211189,14n07384,train,2,118,22,2,798,790,762
atlas,HOMFLY_PT_plus_Theta,211245,14a01102,train,2,638,28,2,228,227,3570
atlas,HOMFLY_PT_plus_Theta,211245,14a01390,train,2,638,28,2,228,227,3570
atlas,HOMFLY_PT_plus_Theta,211246,14a00985,val,2,638,28,2,228,227,3570
