family,coordinate
T2,T2_q21_t3
T2,T2_q25_t5
T2,T2_q29_t7
T2,T2_q33_t9
T2,T2_q37_t11
T2,T2_q41_t13
T2,T2_q45_t15
T2,T2_q49_t17
T2,T2_q-19_t-2
T2,T2_q-13_t0
T2,T2_q-9_t2
T2,T2_q-3_t4
T4,T4_q-27_t-8
T4,T4_q-25_t-8
T4,T4_q-23_t-8
T4,T4_q-21_t-8
T4,T4_q-17_t-4
T4,T4_q-15_t-4
T4,T4_q-13_t-4
T4,T4_q-11_t-4
T4,T4_q11_t5
T4,T4_q13_t5
T4,T4_q15_t5
T4,T4_q17_t5
T4,T4_q21_t9
T4,T4_q23_t9
T4,T4_q25_t9
T4,T4_q27_t9
