assignment,knot_id_base
random_seed_20260830,14n20624
random_seed_20260830,14n20639
random_seed_20260830,14n20644
random_seed_20260830,14n20645
random_seed_20260830,14n20656
random_seed_20260830,14n20658
random_seed_20260830,14n20679
random_seed_20260830,14n20750
random_seed_20260830,14n20757
random_seed_20260830,14n20761
random_seed_20260830,14n20789
random_seed_20260830,14n20975
random_seed_20260830,14n21085
random_seed_20260830,14n21324
random_seed_20260830,14n21717
random_seed_20260830,14n21881
random_seed_20260830,14n22068
random_seed_20260830,14n22108
random_seed_20260830,14n22361
random_seed_20260830,14n22882
random_seed_20260830,14n23835
random_seed_20260830,14n24120
random_seed_20260830,14n24551
random_seed_20260830,14n24763
random_seed_20260830,14n24778
random_seed_20260830,14n27179
random_seed_20260830,14n27214
random_seed_20260830,14n27436
random_seed_20260830,15a51218
random_seed_20260830,15a54584
random_seed_20260830,15a54664
random_seed_20260830,15a54813
random_seed_20260830,15a58615
random_seed_20260830,15a58637
random_seed_20260830,15a58650
random_seed_20260830,15a67050
random_seed_20260830,15a69409
random_seed_20260830,15a74186
random_seed_20260830,15a74300
random_seed_20260830,15a74865
random_seed_20260830,15a78720
random_seed_20260830,15a78793
random_seed_20260830,15a78843
random_seed_20260830,15a81420
random_seed_20260830,15a82172
random_seed_20260830,15a82178
random_seed_20260830,15a83944
random_seed_20260830,15a84245
random_seed_20260830,15a84772
random_seed_20260830,15a84784
random_seed_20260830,15a84787
random_seed_20260830,15a84957
random_seed_20260830,15a85074
random_seed_20260830,15a85170
random_seed_20260830,15a85181
random_seed_20260830,15a85193
random_seed_20260830,15a85240
random_seed_20260830,15a85245
random_seed_20260830,15a85246
random_seed_20260830,15a85258
random_seed_20260830,15a85259
random_seed_20260830,15n005552
random_seed_20260830,15n005650
random_seed_20260830,15n005788
random_seed_20260830,15n005900
random_seed_20260830,15n006050
random_seed_20260830,15n006107
random_seed_20260830,15n008500
random_seed_20260830,15n012212
random_seed_20260830,15n012301
random_seed_20260830,15n012324
random_seed_20260830,15n012482
random_seed_20260830,15n012642
random_seed_20260830,15n012951
random_seed_20260830,15n013123
random_seed_20260830,15n013472
random_seed_20260830,15n013551
random_seed_20260830,15n013955
random_seed_20260830,15n015791
random_seed_20260830,15n018579
random_seed_20260830,15n022172
random_seed_20260830,15n022479
random_seed_20260830,15n022530
random_seed_20260830,15n022790
random_seed_20260830,15n022987
random_seed_20260830,15n024760
random_seed_20260830,15n024851
random_seed_20260830,15n025153
random_seed_20260830,15n026021
random_seed_20260830,15n027181
random_seed_20260830,15n027211
random_seed_20260830,15n030427
random_seed_20260830,15n030452
random_seed_20260830,15n030953
random_seed_20260830,15n031211
random_seed_20260830,15n031235
random_seed_20260830,15n031240
random_seed_20260830,15n031888
random_seed_20260830,15n031932
random_seed_20260830,15n032227
random_seed_20260830,15n032574
random_seed_20260830,15n032653
random_seed_20260830,15n033777
random_seed_20260830,15n033851
random_seed_20260830,15n036746
random_seed_20260830,15n038323
random_seed_20260830,15n038419
random_seed_20260830,15n040125
random_seed_20260830,15n040183
random_seed_20260830,15n040211
random_seed_20260830,15n040293
random_seed_20260830,15n040602
